LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
N080ICP-G01,Innolux,8.0,Assembly,800x1280,380,MIPI
N070ICE-G02 Rev.C1,Innolux,7.0,LCD,800x1280,400,MIPI
BP070HD1-100,BOE,7.0,LCD,720x1280,450,MIPI
CLAA089WA02 XG,CPT,8.9,LCD,800x1280,400,MIPI
TPM0501021N,JDI,5.0,LCD,1080x1920,450,MIPI
H163QLN01.1,AUO,1.63,OLED,320x320,300,MIPI
LQ070M1SX02,SHARP,7.0,LCD,1200x1920,400,MIPI
TPT0501001L,JDI,5.0,Assembly,1080x1920,430,MIPI
LS050T1SX54,SHARP,5.0,LCD,1080x1920,480,MIPI
AMS529BY03,Samsung,5.3,Assembly,1080x1920,350,MIPI
LS063R1SX01,SHARP,6.3,LCD,1440x2560,400,MIPI
AMS499QP89-0,Samsung,5.0,Assembly,1080x1920,300,MIPI
TM040YDH01,Tianma,4.0,LCD,480x800,300,MIPI
B080EAB02.2 HW1A,AUO,8.0,Assembly,800x1280,360,MIPI
LS050T1SC01S,SHARP,5.0,LCD,1080x1920,500,MIPI
CLAN089WA02 XN,CPT,8.9,CELL,800x1280,0,MIPI
CLAA055WD43,CPT,5.5,LCD,720x1280,450,MIPI
CLAA070WQ62,CPT,7.0,LCD,800x1280,350,MIPI
LPM055A138A,JDI,5.5,LCD,1440x2560,450,MIPI
VVX10F002A90,Panasonic,10.1,LCD,1920x1200,450,MIPI
TM040YVZG31,Tianma,4.0,Assembly,480x800,500,MIPI
TM016XDHC01,Tianma,1.6,LCD,256x320,400,MIPI
CLAN101FP05 XG,CPT,10.1,CELL,1920x1200,0,MIPI
LS055T1SX10,SHARP,5.5,LCD,1080x1920,450,MIPI
TPM0551011N,JDI,5.5,LCD,1080x1920,450,MIPI
LPM050A094B,JDI,5.0,LCD,1080x1920,,MIPI
LPM052A222A,JDI,5.2,LCD,1440x2560,470,MIPI
TV070WSM-TH0,BOE,7.0,Assembly,600x1024,300,MIPI
TV070WSM-TU0,BOE,7.0,Assembly,600x1024,250,MIPI
ZJ015PD-01C,Innolux,1.5,LCD,320x320,270,MIPI
ZJ015PZ-01A,Innolux,1.5,LCD,360x360,200,MIPI
B101UAN01.7 HW3A,AUO,10.1,LCD,1920x1200,400,MIPI
LS057T1SX01,SHARP,5.7,LCD,1080x1920,460,MIPI
P070ACB-DB2,Innolux,7.0,LCD,600x1024,350,MIPI
P070ACB-DB1,Innolux,7.0,LCD,600x1024,300,MIPI
LD1010WX3-SMP1,LG Display,10.1,LCD,800x1280,450,MIPI
TM046JDHP01-30,Tianma,4.7,LCD,720x1280,400,MIPI
DLC0400KZG,Other,4.0,LCD,640x1136,580,MIPI
H163QLN01.0,AUO,1.63,OLED,20x320,300,MIPI
CLAN070NQ06,CPT,7.0,CELL,1024x600,0,MIPI
LSL097XL01-001,Samsung,9.7,CELL,768x1024,0,MIPI
H520DAN01.1,AUO,5.2,CELL,1080x1920,0,MIPI
H499TAN05.0,AUO,5.0,CELL,720x1280,0,MIPI
CLAN080WQ65 XG,CPT,8.0,CELL,800x1280,0,MIPI
B116XAN03.1 HW1A,AUO,11.6,LCD,1366x768,400,MIPI
LSL080XL01-001,Samsung,8.0,CELL,768x1024,0,MIPI
B080QAN03.4,AUO,7.9,LCD,1536x2048,400,MIPI
BP101WX1-600,BOE,10.1,LCD,1280x800,400,MIPI
CLAT101WR61 XG,CPT,10.1,Assembly,800x1280,350,MIPI
B116XAN02.5 CELL,AUO,11.6,CELL,1366x768,0,MIPI
HE101IA-01R I,Innolux,10.1,CELL,1280x800,0,MIPI
TV101WXM-NL1,BOE,10.1,LCD,800x1280,350,MIPI
LQ050T1SX05(G),SHARP,5.0,LCD,1080x1920,450,MIPI
P101DCA-AZ0,Innolux,10.1,LCD,800x1280,500,MIPI
H546DAN07.3,AUO,5.5,CELL,1080x1920,0,MIPI
LS050K3SX06A,SHARP,5.0,CELL,720x1280,0,MIPI
LS055T3SX13,SHARP,5.5,LCD,1080x1920,450,MIPI
LS052T3SX12,SHARP,5.2,LCD,1080x1920,500,MIPI
NDS07012001920,SEBO,7.S0,LCD,1200x1920,450,MIPI
TFT08925601600,SEBO,8.9,LCD,2560x1600,500,MIPI
CLAT080WQ65,CPT,8.0,Assembly,800x1280,360,MIPI
CLAB080WQ05 XN,CPT,8.0,CELL,800x1280,0,MIPI
TV080WXM-NL0,BOE,8.0,LCD,800x1280,350,MIPI
TM046JDHG01,Tianma,4.7,LCD,720x1280,500,MIPI
LS055T3SX09,SHARP,5.5,LCD,1080x1920,450,MIPI
TPF0702001N,JDI,7.0,CELL,1200x1920,0,MIPI
TM050JDHG33,Tianma,5.0,LCD,720x1280,600,MIPI
LS055T3SX03,SHARP,5.5,CELL,1080x1920,0,MIPI
P068HFB-DK1,Innolux,6.8,Assembly,1080x1920,350,MIPI
P080LDN-DB1,Innolux,8.0,Assembly,1200x1920,290,MIPI
P080LDN-DB2,Innolux,8.0,Assembly,1200x1920,290,MIPI
LH550QH2-SH02,LG Display,5.5,CELL,1440x2560,0,MIPI
VVF07H158D00,Panasonic,7.0,CELL,800x1280,,MIPI
TV080WXM-NS0,BOE,8.0,LCD,800x1280,450,MIPI
LH530QH1-SD01,LG Display,5.3,Assembly,1440x2560,500,MIPI
BV050HDM-N00,BOE,5.0,LCD,720x1280,350,MIPI
B101UAN07.0 CELL,AUO,10.1,CELL,1200x1920,0,MIPI
CLAA089WA01 XG,CPT,8.9,LCD,800x1280,400,MIPI
LQ050T1SX02(G),SHARP,5.0,LCD,1080x1920,460,MIPI
TV080WUM-AD0,BOE,8.0,Assembly,1200x1920,300,MIPI
LS060T1SX01,SHARP,6.0,LCD,1080x1920,450,MIPI
LS055R3SX01 (G),SHARP,5.5,LCD,1536x2560,450,MIPI
TV080WUM-AK0,BOE,8.0,Assembly,1200x1920,350,MIPI
H145ALN01.0,AUO,1.45,OLED,80x280,300,MIPI
H546DAN09.1,AUO,5.5,CELL,1080x1920,0,MIPI
PJ055IA-14C,Innolux,5.5,LCD,1080x1920,450,MIPI
TM055JVZG02,Tianma,5.5,Assembly,720x1280,350,MIPI
LQ037T3SX01,SHARP,3.7,LCD,480x854,520,MIPI
TV070WXM-TU0,BOE,7.0,LCD,800x1280,350,MIPI
LS050T1SX18,SHARP,5.0,LCD,1080x1920,480,MIPI
LQ070M3SX03,SHARP,7.0,LCD,1200x1920,500,MIPI
TV080WXM-NW0,BOE,8.0,LCD,800x1280,360,MIPI
TV080WXB-NS0,BOE,8.0,CELL,800x1280,0,MIPI
P101KDA-AK0,Innolux,10.1,LCD,1200x1920,400,MIPI
AMS596DU08-0,Samsung,6.0,Assembly,1440x2560,350,MIPI
B101EAN02.0,AUO,10.1,LCD,800x1280,400,MIPI
M800FBM1.A,EDO,8.0,OLED,1080x1920,400,MIPI
AMS546KD09-0,Samsung,5.5,,1440x2560,390,MIPI
H381DLN01.2,AUO,3.8,OLED,1080x1200,100,MIPI
